BTC | Bitcoin                                : $53,693.00         | в рублях: null
ETH | Ethereum                               : $2,233.51          | в рублях: null
USDT | TetherUS                              : $1.00              | в рублях: null
BNB | BNB                                    : $485.40            | в рублях: null
SOL | Solana                                 : $125.99            | в рублях: null
USDC | USD Coin                              : $1.00              | в рублях: null
XRP | Ripple                                 : $0.5171            | в рублях: null
DOGE | Dogecoin                              : $0.09171           | в рублях: null
TRX | TRON                                   : $0.1479            | в рублях: null
TON | Toncoin                                : $4.71              | в рублях: null
ADA | Cardano                                : $0.3143            | в рублях: null
AVAX | Avalanche                             : $21.08             | в рублях: null
WBTC | Wrapped Bitcoin                       : $53,620.94         | в рублях: null
SHIB | SHIBA INU                             : $0.00001272        | в рублях: null
BCH | Bitcoin Cash                           : $298.20            | в рублях: null
DOT | Polkadot                               : $3.95              | в рублях: null
LINK | ChainLink                             : $9.58              | в рублях: null
DAI | Dai                                    : $0.99679425        | в рублях: null
LTC | Litecoin                               : $63.48             | в рублях: null
NEAR | NEAR Protocol                         : $3.56              | в рублях: null
UNI | Uniswap                                : $6.11              | в рублях: null
ICP | Internet Computer                      : $6.99              | в рублях: null
PEPE | Pepe                                  : $0.00000682        | в рублях: null
WBETH | Wrapped Beacon ETH (WBETH)           : $2,342.12          | в рублях: null
APT | Aptos                                  : $5.72              | в рублях: null
FET | Artificial Superintelligence Alliance  : $1.05              | в рублях: null
ETC | Ethereum Classic                       : $17.43             | в рублях: null
XLM | Stellar Lumens                         : $0.0877            | в рублях: null
FDUSD | First Digital USD                    : $0.9986            | в рублях: null
SUI | Sui                                    : $0.8355            | в рублях: null
BTC | Bitcoin                                : $53,693.00         | в рублях: null
ETH | Ethereum                               : $2,233.51          | в рублях: null
USDT | TetherUS                              : $1.00              | в рублях: null
BNB | BNB                                    : $485.40            | в рублях: null
SOL | Solana                                 : $125.99            | в рублях: null
USDC | USD Coin                              : $1.00              | в рублях: null
XRP | Ripple                                 : $0.5171            | в рублях: null
DOGE | Dogecoin                              : $0.09171           | в рублях: null
TRX | TRON                                   : $0.1479            | в рублях: null
TON | Toncoin                                : $4.71              | в рублях: null
ADA | Cardano                                : $0.3143            | в рублях: null
AVAX | Avalanche                             : $21.08             | в рублях: null
WBTC | Wrapped Bitcoin                       : $53,620.94         | в рублях: null
SHIB | SHIBA INU                             : $0.00001272        | в рублях: null
BCH | Bitcoin Cash                           : $298.20            | в рублях: null
DOT | Polkadot                               : $3.95              | в рублях: null
LINK | ChainLink                             : $9.58              | в рублях: null
DAI | Dai                                    : $0.99679425        | в рублях: null
LTC | Litecoin                               : $63.48             | в рублях: null
NEAR | NEAR Protocol                         : $3.56              | в рублях: null
UNI | Uniswap                                : $6.11              | в рублях: null
ICP | Internet Computer                      : $6.99              | в рублях: null
PEPE | Pepe                                  : $0.00000682        | в рублях: null
WBETH | Wrapped Beacon ETH (WBETH)           : $2,342.12          | в рублях: null
APT | Aptos                                  : $5.72              | в рублях: null
FET | Artificial Superintelligence Alliance  : $1.05              | в рублях: null
ETC | Ethereum Classic                       : $17.43             | в рублях: null
XLM | Stellar Lumens                         : $0.0877            | в рублях: null
FDUSD | First Digital USD                    : $0.9986            | в рублях: null
SUI | Sui                                    : $0.8355            | в рублях: null
STX | Stacks                                 : $1.35              | в рублях: null
FIL | Filecoin                               : $3.27              | в рублях: null
IMX | ImmutableX                             : $1.15              | в рублях: null
AAVE | Aave                                  : $122.09            | в рублях: null
RENDER | Render                              : $4.63              | в рублях: null
ARB | Arbitrum                               : $0.4912            | в рублях: null
TAO | Bittensor                              : $231.20            | в рублях: null
HBAR | Hedera Hashgraph                      : $0.047             | в рублях: null
MATIC | Polygon                              : $0.3628            | в рублях: null
VET | VeChain                                : $0.02012           | в рублях: null
OP | Optimism                                : $1.35              | в рублях: null
INJ | Injective                              : $16.26             | в рублях: null
ATOM | Cosmos                                : $3.80              | в рублях: null
WIF | Dogwifhat                              : $1.47              | в рублях: null
MKR | Maker                                  : $1,544.00          | в рублях: null
AR | Arweave                                 : $20.45             | в рублях: null
GRT | The Graph                              : $0.1303            | в рублях: null
RUNE | THORChain                             : $3.42              | в рублях: null
FLOKI | FLOKI                                : $0.00011576        | в рублях: null
BONK | Bonk                                  : $0.00001568        | в рублях: null
THETA | Theta Token                          : $1.09              | в рублях: null
FTM | Fantom                                 : $0.3727            | в рублях: null
ALGO | Algorand                              : $0.1151            | в рублях: null
JUP | Jupiter                                : $0.6876            | в рублях: null
PYTH | Pyth Network                          : $0.2526            | в рублях: null
JASMY | JasmyCoin                            : $0.01802           | в рублях: null
SEI | Sei                                    : $0.2654            | в рублях: null
LDO | Lido DAO                               : $0.911             | в рублях: null
TIA | Celestia                               : $3.88              | в рублях: null
FLOW | Flow                                  : $0.516             | в рублях: null
NOT | Notcoin                                : $0.00739           | в рублях: null
OM | MANTRA                                  : $0.8943            | в рублях: null
BTTC | BitTorrent                            : $0.00000077        | в рублях: null
QNT | Quant                                  : $58.30             | в рублях: null
STRK | Starknet Token                        : $0.39              | в рублях: null
EOS | EOS                                    : $0.4542            | в рублях: null
EGLD | MultiversX                            : $23.94             | в рублях: null
1000SATS | 1000*SATS (Ordinals)              : $0.000305          | в рублях: null
NEO | NEO                                    : $9.01              | в рублях: null
AXS | Axie Infinity                          : $4.25              | в рублях: null
XTZ | Tezos                                  : $0.597             | в рублях: null
ORDI | ORDI                                  : $28.15             | в рублях: null
GALA | Gala                                  : $0.01726           | в рублях: null
BEAMX | Beam (Formerly Merit Circle)         : $0.0116            | в рублях: null
XEC | eCash                                  : $0.00002874        | в рублях: null
WLD | Worldcoin                              : $1.36              | в рублях: null
DOGS | Dogs                                  : $0.0010748         | в рублях: null
SAND | The Sandbox                           : $0.2364            | в рублях: null
CFX | Conflux Network                        : $0.1251            | в рублях: null
ENS | Ethereum Name Service                  : $15.81             | в рублях: null
NEXO | Nexo                                  : $0.912             | в рублях: null
TUSD | TrueUSD                               : $0.9984            | в рублях: null
W | Wormhole                                 : $0.1918            | в рублях: null
RONIN | Ronin                                : $1.41              | в рублях: null
MANA | Decentraland                          : $0.2485            | в рублях: null
KLAY | Kaia                                  : $0.1244            | в рублях: null
PAXG | PAX Gold                              : $2,494.00          | в рублях: null
MINA | Mina                                  : $0.3961            | в рублях: null
CHZ | Chiliz                                 : $0.0487            | в рублях: null
ZEC | Zcash                                  : $26.93             | в рублях: null
LUNC | Terra Classic                         : $0.00007394        | в рублях: null
BNX | BinaryX                                : $1.13              | в рублях: null
CAKE | PancakeSwap                           : $1.57              | в рублях: null
FTT | FTX Token                              : $1.25              | в рублях: null
PENDLE | Pendle                              : $2.59              | в рублях: null
DEXE | DeXe                                  : $7.11              | в рублях: null
SNX | Synthetix Network Token                : $1.23              | в рублях: null
IOTA | MIOTA                                 : $0.117             | в рублях: null
BOME | BOOK OF MEME                          : $0.005648          | в рублях: null
ENA | Ethena                                 : $0.203             | в рублях: null
APE | ApeCoin                                : $0.636             | в рублях: null
LPT | Livepeer                               : $10.80             | в рублях: null
AXL | Axelar                                 : $0.4764            | в рублях: null
RAY | Raydium                                : $1.40              | в рублях: null
SFP | SafePal                                : $0.7553            | в рублях: null
GNO | Gnosis                                 : $141.20            | в рублях: null
ASTR | Astar                                 : $0.0509            | в рублях: null
ZK | zkSync                                  : $0.099             | в рублях: null
ROSE | Oasis Network                         : $0.05011           | в рублях: null
COMP | Compound                              : $40.38             | в рублях: null
ZRO | LayerZero                              : $3.15              | в рублях: null
TFUEL | Theta Fuel                           : $0.05154           | в рублях: null
CKB | CKB                                    : $0.007477          | в рублях: null
TWT | Trust Wallet Token                     : $0.7955            | в рублях: null
CRV | Curve                                  : $0.2646            | в рублях: null
1INCH | 1inch                                : $0.2507            | в рублях: null
KAVA | Kava                                  : $0.2773            | в рублях: null
IOTX | IoTeX                                 : $0.03137           | в рублях: null
SUPER | SuperVerse                           : $0.6036            | в рублях: null
BLUR | Blur                                  : $0.1583            | в рублях: null
AMP | AMP                                    : $0.00362           | в рублях: null
JST | JUST                                   : $0.02809           | в рублях: null
DASH | Dash                                  : $23.26             | в рублях: null
GMT | Green Metaverse Token                  : $0.1102            | в рублях: null
KSM | Kusama                                 : $17.04             | в рублях: null
PEOPLE | ConstitutionDAO                     : $0.05195           | в рублях: null
AEVO | AEVO                                  : $0.302             | в рублях: null
SUN | SUN                                    : $0.02597           | в рублях: null
GLM | Golem                                  : $0.2577            | в рублях: null
ELF | aelf                                   : $0.3442            | в рублях: null
HOT | Holo                                   : $0.001448          | в рублях: null
OSMO | Osmosis                               : $0.369             | в рублях: null
WOO | WOO Network                            : $0.1355            | в рублях: null
JTO | JITO                                   : $1.94              | в рублях: null
DYM | Dymension                              : $1.20              | в рублях: null
RSR | Reserve Rights                         : $0.004632          | в рублях: null
ZIL | Zilliqa                                : $0.01257           | в рублях: null
SC | Siacoin                                 : $0.004057          | в рублях: null
MANTA | Manta                                : $0.619             | в рублях: null
G | Gravity                                  : $0.03157           | в рублях: null
BAT | Basic Attention Token                  : $0.1526            | в рублях: null
ENJ | Enjin Coin                             : $0.1321            | в рублях: null
ZRX | 0x                                     : $0.263             | в рублях: null
CELO | Celo                                  : $0.4033            | в рублях: null
RVN | Ravencoin                              : $0.01549           | в рублях: null
QTUM | Qtum                                  : $2.09              | в рублях: null
MEME | Memecoin                              : $0.00866           | в рублях: null
LUNA | Terra                                 : $0.3172            | в рублях: null
GMX | GMX                                    : $22.58             | в рублях: null
ANKR | Ankr                                  : $0.02169           | в рублях: null
ETHFI | ether.fi                             : $1.23              | в рублях: null
ID | Space ID                                : $0.3128            | в рублях: null
ARKM | Arkham                                : $0.935             | в рублях: null
GAS | NeoGas                                 : $3.01              | в рублях: null
RPL | Rocket Pool                            : $9.43              | в рублях: null
T | Threshold                                : $0.01966           | в рублях: null
MASK | Mask Network                          : $1.90              | в рублях: null
SSV | SSV Token                              : $17.57             | в рублях: null
DYDX | dYdX                                  : $0.844             | в рублях: null
FLUX | Flux                                  : $0.5238            | в рублях: null
CVX | Convex Finance                         : $1.86              | в рублях: null
IO | IO.NET                                  : $1.50              | в рублях: null
DCR | Decred                                 : $10.83             | в рублях: null
UMA | UMA                                    : $2.10              | в рублях: null
POLYX | Polymesh                             : $0.1967            | в рублях: null
ALT | AltLayer                               : $0.0769            | в рублях: null
BICO | Biconomy                              : $0.2005            | в рублях: null
EDU | Open Campus                            : $0.5107            | в рублях: null
METIS | MetisDAO                             : $28.12             | в рублях: null
SKL | SKALE Network                          : $0.02954           | в рублях: null
ILV | Illuvium                               : $34.54             | в рублях: null
LRC | Loopring                               : $0.1168            | в рублях: null
YFI | yearn.finance                          : $4,746.00          | в рублях: null
AUDIO | Audius                               : $0.1194            | в рублях: null
BAND | BAND                                  : $0.994             | в рублях: null
ONE | Harmony                                : $0.01053           | в рублях: null
SUSHI | Sushi                                : $0.56              | в рублях: null
TRB | Tellor Tributes                        : $54.95             | в рублях: null
VTHO | VeThor Token                          : $0.001768          | в рублях: null
KDA | Kadena                                 : $0.491             | в рублях: null
ONT | Ontology                               : $0.1561            | в рублях: null
CHR | Chromia                                : $0.1683            | в рублях: null
FXS | Frax Share                             : $1.71              | в рублях: null
SAGA | Saga                                  : $1.31              | в рублях: null
GLMR | Glimmer                               : $0.1465            | в рублях: null
ACH | Alchemy Pay                            : $0.01618           | в рублях: null
COTI | COTI                                  : $0.07579           | в рублях: null
YGG | Yield Guild Games                      : $0.3444            | в рублях: null
BANANA | Banana Gun                          : $37.73             | в рублях: null
VANRY | Vanar                                : $0.0837            | в рублях: null
BB | BounceBit                               : $0.2812            | в рублях: null
STORJ | Storj                                : $0.3231            | в рублях: null
ZEN | Horizen                                : $7.68              | в рублях: null
ICX | ICON                                   : $0.1151            | в рублях: null
SXP | Solar                                  : $0.1842            | в рублях: null
XNO | Nano                                   : $0.836             | в рублях: null
API3 | API3                                  : $1.28              | в рублях: null
USDP | Pax Dollar                            : $1.00              | в рублях: null
DGB | DigiByte                               : $0.00619           | в рублях: null
XAI | Xai                                    : $0.1737            | в рублях: null
LSK | Lisk                                   : $0.72              | в рублях: null
JOE | JOE                                    : $0.289             | в рублях: null
BAL | Balancer                               : $1.72              | в рублях: null
RARE | SuperRare                             : $0.1406            | в рублях: null
WAXP | WAX                                   : $0.02832           | в рублях: null
RLC | iExecRLC                               : $1.36              | в рублях: null
ONG | Ontology Gas                           : $0.2523            | в рублях: null
XVS | Venus                                  : $6.02              | в рублях: null
CTSI | Cartesi                               : $0.1167            | в рублях: null
IOST | IOST                                  : $0.0045            | в рублях: null
POND | Marlin                                : $0.01185           | в рублях: null
DUSK | Dusk                                  : $0.2017            | в рублях: null
NMR | Numeraire                              : $12.74             | в рублях: null
SLP | Smooth Love Potion                     : $0.002238          | в рублях: null
PUNDIX | Pundi X                             : $0.3548            | в рублях: null
PIXEL | Pixels                               : $0.1188            | в рублях: null
NTRN | Neutron                               : $0.327             | в рублях: null
POWR | Powerledger                           : $0.1737            | в рублях: null
TRU | TrueFi                                 : $0.0778            | в рублях: null
